Date,Return,Coder,Primary Category,Secondary Category,Ease of Coding,(#) Ease of Coding,Journalist Confidence,(#) Journalist Confidence,Clarity,Article Title,Newspaper,Article Link/Location,Commodities,Corporate,Elections,Exrate,Foreign,Govspend,Trade,Macro,Monetary,Noart,Other,Otherpol,Reg,Sovmil,Taxes,Terror,Unknown,Policy,Year,Month,Day
8/23/2019,-0.0259464,tjv,international trade policy,,Easy,3,High,3,1.679,"Stocks, Bond Yields Fall Sharply on Trade Tensions",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,8,23
8/23/2019,-0.0259464,mcs,international trade policy,,Easy,3,High,3,1.679,"Stocks, Bond Yields Fall Sharply on Trade Tensions",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,8,23
8/14/2019,-0.0292928,tjv,macroeconomic news & outlook,,Easy,3,High,3,0.733,Dow Sheds 800 in Biggest Drop of Year,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,8,14
8/14/2019,-0.0292928,mcs,macroeconomic news & outlook,,Easy,3,High,3,0.733,Dow Sheds 800 in Biggest Drop of Year,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,8,14
8/5/2019,-0.0297778,tjv,international trade policy,,Easy,3,High,3,1.484,Stocks Fall Sharply as Yuan Reels and Trump Jabs at China,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,8,5
8/5/2019,-0.0297778,mcs,international trade policy,,Easy,3,High,3,1.484,Stocks Fall Sharply as Yuan Reels and Trump Jabs at China,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,8,5
1/4/2019,0.03433569,tjv,macroeconomic news & outlook,monetary policy and central banking,Easy,3,High,3,1.679,"U.S. Stocks Surge on Powell Remarks, Jobs Report",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0.25,2019,1,4
1/4/2019,0.03433569,mcs,macroeconomic news & outlook,monetary policy and central banking,Easy,3,High,3,1.679,"U.S. Stocks Surge on Powell Remarks, Jobs Report",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0.25,2019,1,4
12/26/2018,0.049594,mcs,macroeconomic news & outlook,,Easy,3,High,3,0.038,"Dow Industrials Leap More Than 1,000 Points",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,12,26
12/26/2018,0.049594,nab,unknown & no explanation,,Easy,3,High,3,0.038,"Dow Industrials Leap More Than 1,000 Points",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,12,26
12/26/2018,0.049594,srb,unknown & no explanation,,Medium,2,Medium,2,0.038,"Dow Industrials Leap More Than 1,000 Points",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,12,26
12/24/2018,-0.02711,mcs,other policy - specify,,Medium,2,High,3,0.813,Dow Falls 650 Points Despite Mnuchin’s Bid to Reassure Investors,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2018,12,24
12/24/2018,-0.02711,nab,other policy - specify,,Easy,3,Medium,2,0.813,Dow Falls 650 Points Despite Mnuchin’s Bid to Reassure Investors,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2018,12,24
12/24/2018,-0.02711,srb,monetary policy and central banking,macroeconomic news & outlook,Medium,2,High,3,0.813,Dow Falls 650 Points Despite Mnuchin’s Bid to Reassure Investors,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0.75,2018,12,24
12/4/2018,-0.03236,mcs,international trade policy,,Easy,3,High,3,1.679,Dow Tumbles Nearly 800 Points as Trade Jitters Return,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018,12,4
12/4/2018,-0.03236,nab,international trade policy,,Easy,3,High,3,1.679,Dow Tumbles Nearly 800 Points as Trade Jitters Return,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018,12,4
12/4/2018,-0.03236,srb,international trade policy,macroeconomic news & outlook,Easy,3,High,3,1.679,Dow Tumbles Nearly 800 Points as Trade Jitters Return,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0.75,2018,12,4
10/24/2018,-0.03086,mcs,corporate earnings & outlook,,Medium,2,Medium,2,-1.131,U.S. Stocks Fall Sharply as Markets Extend Rocky Stretch,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,10,24
10/24/2018,-0.03086,nab,macroeconomic news & outlook,international trade policy,Hard,1,Low,1,-1.131,U.S. Stocks Fall Sharply as Markets Extend Rocky Stretch,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0.25,2018,10,24
10/24/2018,-0.03086,srb,macroeconomic news & outlook,foreign stock market,Hard,1,Low,1,-1.131,U.S. Stocks Fall Sharply as Markets Extend Rocky Stretch,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,2018,10,24
10/10/2018,-0.03286,mcs,unknown & no explanation,,Hard,1,Low,1,-0.463,Quickening Retreat From Tech Sinks Market,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,10,10
10/10/2018,-0.03286,nab,monetary policy and central banking,international trade policy,Medium,2,Medium,2,-0.463,Quickening Retreat From Tech Sinks Market,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0,0,0,0,1,2018,10,10
10/10/2018,-0.03286,srb,monetary policy and central banking,international trade policy,Medium,2,Medium,2,-0.463,Quickening Retreat From Tech Sinks Market,Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0,0,0,0,1,2018,10,10
3/26/2018,0.027157,mcs,international trade policy,,Easy,3,High,3,1.679,"U.S. Stocks Surge as Trade Worries Ease; The Dow industrials, after its worst week in more than two years, records its biggest one-day point gain in about a decade Banerji, Gunjan; Kantchev, Georgi .",Wall Street Journal,https://www.dropbox.com/s/sgq7t10c6dboiwc/WSJ_final.zip?dl=0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018,3,26
